Generated Airfoil
0.999489 -0.000907
0.999497 -0.000910
0.997526 -0.000698
0.995605 -0.000512
0.993505 -0.000336
0.991704 -0.000140
0.989701 0.000039
0.987806 0.000229
0.985793 0.000409
0.983836 0.000603
0.981930 0.000786
0.979954 0.000974
0.977934 0.001143
0.976003 0.001335
0.974084 0.001527
0.972099 0.001692
0.970226 0.001875
0.968199 0.002056
0.966272 0.002225
0.964261 0.002410
0.962340 0.002580
0.960382 0.002763
0.958416 0.002924
0.956452 0.003104
0.954526 0.003277
0.952587 0.003452
0.950666 0.003624
0.948632 0.003788
0.946660 0.003953
0.944694 0.004130
0.942752 0.004288
0.940931 0.004452
0.938883 0.004630
0.936953 0.004778
0.934909 0.004951
0.932985 0.005117
0.931054 0.005266
0.929098 0.005439
0.927153 0.005586
0.925187 0.005760
0.923232 0.005920
0.921305 0.006084
0.919299 0.006240
0.917285 0.006401
0.915439 0.006557
0.913453 0.006724
0.911501 0.006870
0.909549 0.007032
0.907594 0.007195
0.905596 0.007361
0.903741 0.007526
0.901725 0.007675
0.899764 0.007830
0.897775 0.007992
0.895817 0.008154
0.893858 0.008301
0.891992 0.008463
0.889975 0.008613
0.887993 0.008767
0.886087 0.008922
0.884067 0.009080
0.882161 0.009237
0.880211 0.009392
0.878233 0.009544
0.876312 0.009698
0.874291 0.009852
0.872430 0.010011
0.870409 0.010165
0.868471 0.010326
0.866564 0.010467
0.864589 0.010638
0.862615 0.010779
0.860654 0.010940
0.858696 0.011093
0.856731 0.011243
0.854761 0.011392
0.852808 0.011540
0.850928 0.011702
0.848895 0.011847
0.846896 0.012011
0.844977 0.012167
0.843070 0.012324
0.841085 0.012484
0.839120 0.012637
0.837186 0.012795
0.835222 0.012939
0.833295 0.013093
0.831291 0.013261
0.829403 0.013402
0.827416 0.013577
0.825467 0.013726
0.823507 0.013883
0.821539 0.014037
0.819550 0.014205
0.817612 0.014371
0.815656 0.014518
0.813745 0.014678
0.811767 0.014832
0.809830 0.014975
0.807811 0.015147
0.805893 0.015297
0.803951 0.015461
0.802027 0.015616
0.800048 0.015786
0.798084 0.015940
0.796147 0.016078
0.794118 0.016254
0.792212 0.016385
0.790231 0.016569
0.788319 0.016737
0.786291 0.016894
0.784416 0.017046
0.782395 0.017195
0.780452 0.017367
0.778524 0.017513
0.776582 0.017681
0.774640 0.017852
0.772643 0.018017
0.770662 0.018166
0.768750 0.018333
0.766794 0.018512
0.764806 0.018666
0.762822 0.018809
0.760929 0.018981
0.759006 0.019144
0.756989 0.019301
0.755065 0.019465
0.753088 0.019631
0.751119 0.019811
0.749175 0.019967
0.747240 0.020140
0.745247 0.020292
0.743311 0.020478
0.741328 0.020644
0.739386 0.020800
0.737450 0.020966
0.735453 0.021148
0.733502 0.021297
0.731543 0.021458
0.729632 0.021617
0.727631 0.021792
0.725724 0.021979
0.723786 0.022146
0.721785 0.022311
0.719861 0.022501
0.717917 0.022665
0.715923 0.022828
0.713982 0.022999
0.711998 0.023175
0.710091 0.023349
0.708150 0.023536
0.706166 0.023673
0.704247 0.023858
0.702246 0.024027
0.700318 0.024199
0.698355 0.024379
0.696352 0.024539
0.694458 0.024718
0.692443 0.024906
0.690550 0.025060
0.688558 0.025247
0.686632 0.025415
0.684633 0.025597
0.682694 0.025758
0.680740 0.025920
0.678797 0.026108
0.676848 0.026281
0.674856 0.026445
0.672908 0.026629
0.670997 0.026810
0.669039 0.026967
0.667078 0.027156
0.665135 0.027341
0.663098 0.027505
0.661219 0.027691
0.659266 0.027851
0.657289 0.028030
0.655277 0.028213
0.653324 0.028376
0.651443 0.028553
0.649452 0.028721
0.647462 0.028891
0.645548 0.029063
0.643543 0.029240
0.641591 0.029439
0.639691 0.029594
0.637759 0.029794
0.635765 0.029946
0.633772 0.030138
0.631830 0.030296
0.629854 0.030497
0.627977 0.030664
0.625960 0.030850
0.624056 0.031031
0.622068 0.031193
0.620100 0.031383
0.618175 0.031544
0.616243 0.031707
0.614268 0.031904
0.612311 0.032066
0.610325 0.032253
0.608368 0.032439
0.606423 0.032627
0.604431 0.032801
0.602523 0.032988
0.600539 0.033161
0.598645 0.033358
0.596661 0.033508
0.594683 0.033679
0.592719 0.033852
0.590773 0.034033
0.588825 0.034191
0.586884 0.034374
0.584925 0.034559
0.582911 0.034725
0.581011 0.034897
0.579078 0.035085
0.577079 0.035261
0.575139 0.035432
0.573157 0.035585
0.571219 0.035766
0.569230 0.035956
0.567278 0.036122
0.565369 0.036305
0.563386 0.036486
0.561463 0.036655
0.559484 0.036802
0.557583 0.036986
0.555561 0.037156
0.553621 0.037310
0.551676 0.037517
0.549737 0.037699
0.547724 0.037845
0.545787 0.038029
0.543871 0.038184
0.541914 0.038357
0.539938 0.038549
0.537989 0.038714
0.536032 0.038855
0.534037 0.039062
0.532134 0.039207
0.530120 0.039376
0.528221 0.039549
0.526293 0.039721
0.524260 0.039887
0.522321 0.040052
0.520378 0.040225
0.518428 0.040389
0.516447 0.040566
0.514478 0.040723
0.512553 0.040905
0.510605 0.041082
0.508651 0.041232
0.506663 0.041396
0.504730 0.041561
0.502809 0.041736
0.500832 0.041915
0.498884 0.042058
0.496906 0.042208
0.494984 0.042366
0.493030 0.042532
0.491057 0.042664
0.489121 0.042831
0.487145 0.042982
0.485154 0.043134
0.483208 0.043308
0.481286 0.043464
0.479281 0.043615
0.477329 0.043759
0.475389 0.043903
0.473458 0.044071
0.471490 0.044224
0.469555 0.044379
0.467547 0.044527
0.465600 0.044662
0.463637 0.044812
0.461701 0.044951
0.459763 0.045112
0.457811 0.045255
0.455861 0.045390
0.453863 0.045575
0.451922 0.045705
0.449977 0.045856
0.447997 0.046004
0.446044 0.046144
0.444075 0.046298
0.442137 0.046440
0.440220 0.046574
0.438273 0.046717
0.436290 0.046856
0.434298 0.047005
0.432359 0.047099
0.430428 0.047270
0.428493 0.047400
0.426481 0.047537
0.424529 0.047674
0.422565 0.047826
0.420606 0.047959
